chr	start	end	strand	gene_id	gene_name	cell_cycle_low_confidence	cell_cycle_high_confidence	Campbell_2020_cell_cycle_phase	Spellman_1998_cell_cycle_phase	Lichtenberg_2004_cell_cycle_phase	chan_half_life_av	chan_half_life_rep1	chan_half_life_rep2	Ho_cluster	kubik_-1nucleosome	Luisa_annotation	RPB	DECAY	Histones	metzlraz_cor_SC	metzlraz_cor_Pi	metzlraz_cor_N	metzlraz_cor_genetic_perturbations	metzlraz_cor_environmental_perturbations	metzlraz_EG_SC	metzlraz_EG_genetic_pertubation	metzlraz_EG_enviromental_pertubation	miller_half_life	miller_synth_rate	neymotin_deg_rate	neymotin_half_life	neymotin_threhold	neymotin_abundance	neymotin_synth_rate	rhee_TATAbox_class	rhee_TAF_class	verifed_ORF
chrII	2907	5009	-	YBL111C	YBL111C	TRUE	TRUE	G1	G1	7	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
chrVI	3322	3846	-	YFL064C	YFL064C	TRUE	TRUE	G1	G1	7	2.882096762	2.53319256	3.231000964	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21459325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrII	280	2658	-	YBL113C	YBL113C	TRUE	TRUE	G1	G1	8	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0973	7.7	1	0.027	0.003	NA	NA	NA
chrV	4464	5114	-	YEL076C	YEL076C	TRUE	TRUE	G1	G1	8	2.13300035	1.156110496	3.109890203	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.090312487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrVII	582775	583981	-	YGR044C	RME1	TRUE	TRUE	G1	G1	8	5.439867774	4.551914907	6.32782064	NA	stable		NA	NA	NA	0.127012012	0.088745734	0.089919864	0.030142343	0.052357349	-0.267554342	0.097377914	0.228353165	17.84	13.19	0.0632	12.3	1	5.053	0.319	NA	NA	TRUE
chrV	571480	576525	+	YER190W	YRF1-2	TRUE	TRUE	G1	G1	8	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.522569596	NA	NA	0.1076	6.9	0	0.0168	0.002	NA	NA	TRUE
chrVIII	558014	559924	+	YHR218W	YHR218W	TRUE	TRUE	G1	G1	8	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrXII	1065956	1066564	+	YLR462W	YLR462W	TRUE	TRUE	G1	G1	8	2.61572561	1.333753902	3.897697317	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1278	5.7	0	0.033	0.004	NA	NA	NA
chrXII	1072508	1077898	+	YLR467W	YRF1-5	TRUE	TRUE	G1	G1	9	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.508947033	0.48741822	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
chrXII	1067087	1071235	+	YLR466W	YRF1-4	TRUE	TRUE	G1	M/G1	9	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.457805303	NA	NA	0.1877	3.8	0	41.11	7.717	NA	NA	TRUE
chrV	264	4097	-	YEL077C	YEL077C	TRUE	TRUE	G1	G1	9	3.468843965	3.433256308	3.504431622	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.98	16.35	0.1022	7.3	1	0.0408	0.004	NA	NA	NA
chrXI	583628	584828	+	YKR077W	MSA2	TRUE	TRUE	G1	G1	9	1.576010275	1.660316839	1.491703711	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.314893854	-0.13211313	2.86	21.35	0.2731	2.6	1	1.904	0.52	TATA-less	TAF1-depleted	TRUE
chrVIII	3726	4541	-	YHL049C	YHL049C	TRUE	TRUE	G1	G1	9	2.295197887	2.74632738	1.844068393	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.218387034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrII	2582	2899	-	YBL112C	YBL112C	TRUE	TRUE	G1	G1	9	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.391342682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrXIV	473333	476095	+	YNL082W	PMS1	TRUE	TRUE	G1	G1	10	2.398179837	2.325791477	2.470568197	NA	stable		NA	NA	NA	0.063319642	0.094501202	0.061745361	0.12162259	0.013507964	0.235708729	-0.018771275	-0.041681507	6.83	12.53	0.1061	7	1	1.631	0.173	TATA-less	TAF1-enriched	TRUE
chrXII	243783	245349	-	YLR049C	YLR049C	TRUE	TRUE	G1	G1	10	2.147554751	1.404978693	2.890130808	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.444968357	-0.08525962	NA	11.05	17.2	0.0864	8.7	1	4.193	0.362	TATA-less	TAF1-enriched	NA
chrXVI	944603	947701	+	YPR204W	YPR204W	TRUE	TRUE	G1	M/G1	10	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.86	16.62	0.0835	9.1	0	0	0	NA	NA	TRUE
chrVII	398566	400391	+	YGL055W	OLE1	TRUE	TRUE	G2_M	M/G1	10	3.120987705	3.00476089	3.23721452	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.050240897	-0.272744586	0.579178968	16.45	41.44	0.0264	35.5	1	45.29	1.196	TATA-containing	TAF1-depleted	TRUE
chrVIII	560173	562047	+	YHR219W	YHR219W	TRUE	TRUE	G1	M/G1	10	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrXII	540742	541593	-	YLR194C	YLR194C	TRUE	TRUE	G1	M/G1	10	3.114633279	2.481946946	3.747319612	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.961683041	0.66518603	NA	8.34	13.63	0.079	9.6	1	7.526	0.595	TATA-containing	TAF1-enriched	TRUE
chrVII	441000	443076	-	YGL028C	SCW11	TRUE	TRUE	G1	G1	11	1.429209699	1.280897431	1.577521967	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.209058893	-0.322686013	-0.206314642	7.14	69.95	0.5196	1.4	1	14.17	7.364	TATA-less	TAF1-depleted	TRUE
chrXVI	943032	943896	+	YPR202W	YPR202W	TRUE	TRUE	G1	G1	11	2.21040601	2.278630496	2.142181523	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0577	13.6	0	0.0492	0.003	TATA-less	TAF1-enriched	NA
chrIV	234882	236020	+	YDL127W	PCL2	TRUE	TRUE	G1	G1	11	2.857459135	2.151538458	3.563379812	NA	stable		NA	NA	NA	0.00846513	0.015298496	0.040566985	-0.200470307	-0.133505748	-0.195420669	-0.020200958	-0.406911277	NA	NA	0.1413	5.2	1	4.105	0.58	TATA-containing	TAF1-depleted	TRUE
chrV	382595	385876	-	YER111C	SWI4	TRUE	TRUE	G1	M/G1	12	2.063430397	1.341165441	2.785695352	NA	fragile		NA	NA	NA	0.231512444	0.156217498	0.183620434	0.467942007	0.254629985	-0.225679217	0.135772409	-0.049487863	NA	NA	0.1474	4.9	1	1.062	0.157	TATA-less	TAF1-enriched	TRUE
chrII	380352	381316	+	YBR071W	YBR071W	TRUE	TRUE	G1	G1	12	2.475428582	1.949274194	3.00158297	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.685093004	0.411879215	NA	2.52	41.99	0.1209	6.1	1	1.766	0.214	TATA-less	TAF1-depleted	TRUE
chrIV	1494279	1495961	+	YDR528W	HLR1	TRUE	TRUE	G1	G1	12	1.418418223	1.688342945	1.1484935	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.1010182	-0.020885258	-0.242430954	4.63	27.73	0.3246	2.2	1	0.9012	0.293	TATA-containing	TAF1-depleted	TRUE
chrXI	234375	235854	+	YKL108W	SLD2	TRUE	TRUE	G1	G1	13	3.095740155	2.600042764	3.591437545	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.295760093	-0.025950764	0.110836888	NA	NA	0.0926	8.1	1	1.838	0.17	TATA-less	TAF1-enriched	TRUE
chrXVI	594374	596431	+	YPR018W	RLF2	TRUE	TRUE	G1	G1	13	2.23221268	2.207459439	2.256965921	NA	stable		NA	NA	NA	0.206530978	0.137619484	0.152969288	0.281702537	0.210022857	-0.315100091	-0.033253515	0.073768481	4.34	15.48	0.1244	5.9	1	2.248	0.28	TATA-less	TAF1-enriched	TRUE
chrIV	1078714	1080277	-	YDR309C	GIC2	TRUE	TRUE	G1	G1	13	1.505812783	1.3571535240000001	1.654472042	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.383711768	0.441562193	-0.109283268	5.24	68.26	0.3657	1.9	1	15.99	5.846	TATA-less	TAF1-depleted	TRUE
chrVII	577172	579250	+	YGR041W	BUD9	TRUE	TRUE	G1	G1	14	1.421924167	1.343123423	1.50072491	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.124493256	-0.283483884	0.058272747	6.57	12.41	0.1323	5.5	1	1.895	0.251	TATA-containing	TAF1-depleted	TRUE
chrIII	79162	82275	+	YCL024W	KCC4	TRUE	TRUE	G1	G1	14	1.829879385	1.116415083	2.543343686	NA	fragile		NA	NA	NA	-0.037383363	0.001588314	-0.177031609	-0.405353422	-0.248625349	-0.465129994	-0.033302561	0.120835374	7.56	5.68	0.0936	8	1	3.062	0.287	TATA-less	TAF1-enriched	TRUE
chrXIII	619743	622246	+	YMR179W	SPT21	TRUE	TRUE	G1	G1	14	1.424474265	1.666747122	1.182201407	NA	fragile		NA	NA	NA	0.231287501	0.1242833	0.248772984	0.637402698	0.411485806	NA	-0.196810396	0.04022119	4.34	9.65	0.0981	7.6	1	1.713	0.168	NA	NA	TRUE
chrVII	705245	706577	-	YGR109C	CLB6	TRUE	TRUE	G1	G1	14	NA	0.92169814	NA	NA	stable		NA	NA	NA	0.015042012	0.017041986	-0.064179495	-0.172385368	-0.165609283	NA	-0.247912165	-0.600226643	4.84	25.19	0.1053	7	1	0.5262	0.055	TATA-containing	TAF1-depleted	TRUE
chrXIV	211760	214685	+	YNL233W	BNI4	TRUE	TRUE	G1	G1	14	2.039949322	1.851768075	2.228130569	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.595902521	0.057824528	-0.060388219	6.15	11.88	0.1248	5.9	1	2.145	0.268	TATA-less	TAF1-enriched	TRUE
chrII	151430	153691	-	YBL035C	POL12	TRUE	TRUE	G1	G1	15	2.625546609	2.573771626	2.677321591	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.178961308	-0.17509517	-0.078039964	7.71	12.14	0.0927	8.1	1	1.822	0.169	TATA-containing	TAF1-enriched	TRUE
chrX	85638	87579	+	YJL181W	YJL181W	TRUE	TRUE	G1	G1	15	1.898810791	1.965126327	1.832495254	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.020441683	NA	5.58	25.33	0.0772	9.9	1	1.361	0.105	TATA-less	TAF1-enriched	NA
chrXIII	68265	69753	+	YML102W	CAC2	TRUE	TRUE	G1	G1	15	3.023159002	3.40495855	2.641359454	NA	fragile		NA	NA	NA	0.247021363	0.204252518	0.118224544	0.02281119	0.038163725	-0.416165495	-0.02484469	-0.160581195	10.48	10.78	0.0858	8.8	1	1.488	0.128	TATA-less	TAF1-enriched	TRUE
chrXIV	52597	54110	+	YNL309W	STB1	TRUE	TRUE	G1	G1	15	3.370402149	2.044930189	4.695874109	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.317884884	-0.025691374	0.027225762	NA	NA	0.1095	6.8	1	1.345	0.147	TATA-less	TAF1-enriched	TRUE
chrX	196211	197228	+	YJL115W	ASF1	TRUE	TRUE	G1	G1	16	3.203813594	3.584288554	2.823338633	NA	fragile		NA	NA	NA	0.219855486	0.149004107	0.179398015	0.67344381	0.389554631	-0.097866634	0.09191003	-0.403333393	5.79	14.2	0.0821	9.2	1	7.019	0.576	NA	NA	TRUE
chrXV	292462	294787	+	YOL017W	ESC8	TRUE	TRUE	G1	G1	16	1.990806486	2.002292623	1.979320348	NA	stable		NA	NA	NA	-0.024324647	-0.007035586	-0.048061654	-0.325812134	-0.15411525	NA	0.131467436	0.114052241	8.34	6.35	0.07	11	1	1.675	0.117	TATA-less	TAF1-enriched	TRUE
chrXVI	38154	38850	+	YPL267W	ACM1	TRUE	TRUE	G1	G1	16	3.039242834	3.416391758	2.662093909	NA	stable		NA	NA	NA	0.117105937	0.062311131	0.178888863	0.540033073	0.329141048	NA	0.065599096	-0.263721003	4.33	34.11	0.0662	11.7	1	2.329	0.154	TATA-containing	TAF1-depleted	TRUE
chrXII	708277	710356	-	YLR286C	CTS1	TRUE	TRUE	G1	G1	16	5.807334918	5.13246116	6.482208675	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.012109075	-0.030168756	0.162421605	33.38	16.14	NA	NA	NA	NA	NA	TATA-containing	TAF1-depleted	TRUE
chrIV	1454870	1455922	-	YDR503C	LPP1	TRUE	TRUE	G1	G1	16	2.535818469	2.437799523	2.633837415	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.062530616	0.175041159	-0.111280692	12.96	5.22	0.0487	16.6	1	1.742	0.085	TATA-less	TAF1-enriched	TRUE
chrIV	274984	276644	-	YDL103C	QRI1	TRUE	TRUE	G1	G1	16	7.50900482	7.412876147	7.605133493	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.098265628	0.154456595	-0.034805407	22.05	11.81	0.0688	11.2	1	3.694	0.254	TATA-less	TAF1-depleted	TRUE
chrXVI	132812	135596	+	YPL221W	FLC1	TRUE	TRUE	G1	G1	16	1.623466507	1.499103296	1.747829718	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.676425423	0.272601169	0.287447213	5.66	22.49	0.0644	12.1	1	7.654	0.493	TATA-less	TAF1-depleted	TRUE
chrX	705687	707020	+	YJR148W	BAT2	TRUE	TRUE	G1	G1	16	12.19323557	11.29307686	13.09339428	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.710953677	0.806983493	0.259880396	46.61	14.11	0.0529	15.1	1	15.57	0.824	TATA-less	TAF1-enriched	TRUE
chrVII	937061	939079	-	YGR221C	TOS2	TRUE	TRUE	G1	G1	17	2.623149544	2.769549267	2.47674982	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.314801281	-0.271461269	-0.343502453	NA	NA	0.1557	4.7	1	1.966	0.306	TATA-less	TAF1-enriched	TRUE
chrX	290994	294062	-	YJL078C	PRY3	TRUE	TRUE	G1	G1	17	3.008982376	2.934267708	3.083697043	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	1.247967969	0.026864904	-0.139790553	9.38	12.03	0.4156	1.7	1	5.314	2.209	TATA-less	TAF1-enriched	TRUE
chrXVI	261547	264332	-	YPL153C	RAD53	TRUE	TRUE	G1	G1	17	1.777345937	1.603524888	1.951166986	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018245157	-0.056006342	NA	NA	0.0941	8	1	0.7632	0.072	TATA-containing	TAF1-enriched	TRUE
chrXVI	888945	891098	+	YPR175W	DPB2	TRUE	TRUE	G1	G1	17	3.633635253	2.734292997	4.532977508	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.075564538	-0.330344254	7.52	11.71	0.0879	8.6	1	1.762	0.155	TATA-less	TAF1-enriched	TRUE
chrXVI	887921	888749	-	YPR174C	YPR174C	TRUE	TRUE	G1	G1	17	3.39690598	3.708787008	3.085024951	NA	NA		NA	NA	NA	0.200600976	0.121431339	0.192849521	0.456083828	0.346328993	NA	0.036775821	NA	NA	NA	0.0866	8.7	1	1.163	0.101	TATA-less	TAF1-enriched	TRUE
chrX	23068	23842	+	YJL217W	REE1	TRUE	TRUE	G1	G1	17	19.8078493	19.77196407	19.84373452	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.772538765	0.237461446	-0.185453407	64.89	5.84	0.0212	48.6	1	6.718	0.142	TATA-less	TAF1-depleted	TRUE
chrII	383112	385988	+	YBR073W	RDH54	TRUE	TRUE	G1	G1	17	3.396645875	3.410438333	3.382853417	NA	fragile		NA	NA	NA	0.080695506	0.046949651	0.062360645	0.017693302	0.004579484	-0.01010695	0.168241005	0.166826991	15.75	17.36	0.0852	8.9	1	4.005	0.341	TATA-containing	TAF1-enriched	TRUE
chrXVI	773835	775300	-	YPR120C	CLB5	TRUE	TRUE	G1	G1	17	1.495281208	1.201986761	1.788575655	NA	stable		NA	NA	NA	0.092016636	0.025125861	0.150189883	0.514436389	0.236379602	0.322949693	-0.028035441	-0.003537841	6.12	18.39	0.0742	10.3	1	2.415	0.179	TATA-less	TAF1-enriched	TRUE
chrI	158877	159890	+	YAR008W	SEN34	TRUE	TRUE	G1	G1	17	3.231584855	3.328819249	3.13435046	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.378685602	-0.289983363	-0.173620392	6.66	16.73	0.0954	7.8	1	2.066	0.197	NA	NA	TRUE
chrXIII	422381	424741	-	YMR078C	CTF18	TRUE	TRUE	G1	G1	17	2.922573589	3.015600082	2.829547095	NA	fragile		NA	NA	NA	0.156687644	0.097641283	0.161880394	0.664454729	0.375556206	-0.191915961	-0.101601565	-0.165010409	13.74	6.91	0.0837	9	1	1.856	0.155	TATA-less	TAF1-enriched	TRUE
chrXVI	451463	453241	-	YPL057C	SUR1	TRUE	TRUE	G1	G1	17	1.642605618	1.397741999	1.887469237	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.098415373	0.177316633	5.55	23.75	0.0808	9.4	1	4.783	0.387	TATA-containing	TAF1-depleted	TRUE
chrIV	164825	167283	-	YDL164C	CDC9	TRUE	TRUE	G1	G1	18	3.18035303	2.611657868	3.749048191	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.365555893	-0.118151482	-0.245401735	11.57	8.53	0.0837	9	1	3.078	0.258	TATA-less	TAF1-enriched	TRUE
chrXII	343911	346011	-	YLR103C	CDC45	TRUE	TRUE	G1	G1	18	1.867339537	2.372616006	1.362063067	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.007520744	-0.263044657	8.74	9.12	0.1014	7.3	1	1.488	0.151	TATA-less	TAF1-enriched	TRUE
chrXII	760303	762394	-	YLR313C	SPH1	TRUE	TRUE	G1	G1	18	1.919389927	2.176346402	1.662433452	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.095672453	0.181494864	6.66	7.68	0.0649	12	1	0.9888	0.064	NA	NA	TRUE
chrIV	640048	643901	-	YDR097C	MSH6	TRUE	TRUE	G1	G1	18	4.110002213	3.648235338	4.571769087	PAC cluster	fragile		NA	NA	NA	-0.002912453	-0.031656419	-0.018568315	0.19939111	-0.027657897	-0.047718209	-0.111591737	-0.00767444	13.94	10.09	0.0881	8.5	1	2.869	0.253	TATA-less	TAF1-enriched	TRUE
chrXI	353426	355182	+	YKL045W	PRI2	TRUE	TRUE	G1	G1	18	3.331352506	3.239649905	3.423055106	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.424692545	0.174374348	0.096636726	9.27	15.63	0.0561	14.1	1	2.922	0.164	TATA-less	TAF1-enriched	TRUE
chrI	156681	158682	-	YAR007C	RFA1	TRUE	TRUE	G1	G1	18	5.178332671	4.706169465	5.650495876	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.104511783	-0.054753194	-0.106233126	14.85	14.89	0.061	12.8	1	2.657	0.162	TATA-less	TAF1-enriched	TRUE
chrXVI	799177	802066	+	YPR135W	CTF4	TRUE	TRUE	G1	G1	18	3.000346701	2.818664222	3.182029179	NA	stable		NA	NA	NA	0.181344404	0.100089	0.196113674	0.727503795	0.394311901	-0.13935362	-0.029189494	0.337689132	12.93	6.02	0.0744	10.3	1	2.112	0.157	TATA-less	TAF1-enriched	TRUE
chrV	407001	409103	-	YER124C	DSE1	TRUE	TRUE	G1	G1	19	2.187219477	2.059082586	2.315356368	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.338619608	-0.09846286	0.134208601	7.64	55.21	0.0957	7.8	1	7.607	0.728	TATA-containing	TAF1-depleted	TRUE
chrIX	304334	307984	-	YIL026C	IRR1	TRUE	TRUE	G1	G1	19	3.115554392	2.944496051	3.286612732	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.443010244	0.062184057	0.112397148	9.44	11.95	0.0917	8.2	1	1.797	0.165	TATA-less	TAF1-enriched	TRUE
chrXIV	430087	434493	+	YNL102W	POL1	TRUE	TRUE	G1	G1	19	3.248682625	2.835413326	3.661951923	PAC cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.236131491	-0.180929125	-0.184034334	12.11	24.65	0.105	7.1	1	3.03	0.318	TATA-less	TAF1-enriched	TRUE
chrXIII	416057	420119	-	YMR076C	PDS5	TRUE	TRUE	G1	G1	19	3.509565952	3.44031372	3.578818183	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.132614144	-0.041579673	-0.014294835	10.61	29.1	0.1151	6.4	1	2.723	0.313	TATA-less	TAF1-depleted	TRUE
chrX	299061	302872	-	YJL074C	SMC3	TRUE	TRUE	G1	G1	19	4.443644287	3.62677018	5.260518393	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.064581946	-0.207053296	-0.058968141	14.87	10.39	0.0881	8.5	1	2.088	0.184	TATA-less	TAF1-enriched	TRUE
chrIV	422647	423570	-	YDL018C	ERP3	TRUE	TRUE	G1	G1	19	4.2014844160000004	4.294557082	4.10841175	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.662373638	-0.009475038	-0.075223435	13.11	6.67	0.0285	32.1	1	2.565	0.073	TATA-less	TAF1-depleted	TRUE
chrIV	444571	446507	+	YDL003W	MCD1	TRUE	TRUE	G1	G1	19	2.015422059	1.707450921	2.323393196	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.361983859	-0.19082139	-0.220293348	7.55	19.77	0.0868	8.7	1	3.319	0.288	TATA-containing	TAF1-depleted	TRUE
