,chr,start,end,acc,strand
259,chrII,266513,266963,YBR014C,-
260,chrII,267470,267920,YBR015C,-
261,chrII,270306,270756,YBR016W,+
262,chrII,270736,271186,YBR017C,-
263,chrII,274327,274777,YBR018C,-
264,chrII,276048,276498,YBR019C,-
265,chrII,280257,280707,YBR020W,+
266,chrII,282994,283444,YBR021W,+
267,chrII,284081,284531,YBR022W,+
268,chrII,284124,284574,YBR023C,-
269,chrII,290218,290668,YBR024W,+
270,chrII,290368,290818,YBR025C,-
271,chrII,292660,293110,YBR026C,-
272,chrII,293924,294374,YBR027C,-
273,chrII,294325,294775,YBR028C,-
274,chrII,296269,296719,YBR029C,-
275,chrII,299645,300095,YBR030W,+
276,chrII,301002,301452,YBR031W,+
277,chrII,301471,301921,YBR032W,+
278,chrII,304541,304991,YBR033W,+
279,chrII,304647,305097,YBR034C,-
280,chrII,306102,306552,YBR035C,-
281,chrII,308877,309327,YBR036C,-
282,chrII,310392,310842,YBR037C,-
283,chrII,314439,314889,YBR038W,+
284,chrII,316274,316724,YBR039W,+
285,chrII,317514,317964,YBR040W,+
286,chrII,319925,320375,YBR041W,+
287,chrII,320316,320766,YBR042C,-
288,chrII,321635,322085,YBR043C,-
289,chrII,324164,324614,YBR044C,-
290,chrII,327948,328398,YBR045C,-
291,chrII,330361,330811,YBR046C,-
292,chrII,332010,332460,YBR047W,+
293,chrII,333705,334155,YBR048W,+
294,chrII,333826,334276,YBR049C,-
295,chrII,337042,337492,YBR050C,-
296,chrII,337988,338438,YBR051W,+
297,chrII,338559,339009,YBR052C,-
298,chrII,339504,339954,YBR053C,-
299,chrII,344260,344710,YBR054W,+
300,chrII,344387,344837,YBR055C,-
301,chrII,349077,349527,YBR056W,+
302,chrII,351105,351555,YBR056W-A,+
303,chrII,351193,351643,YBR056C-B,-
304,chrII,352093,352543,YBR057C,-
305,chrII,353531,353981,YBR058C,-
306,chrII,356046,356496,YBR058C-A,-
307,chrII,356675,357125,YBR059C,-
308,chrII,360492,360942,YBR060C,-
309,chrII,364609,365059,YBR061C,-
310,chrII,365771,366221,YBR062C,-
311,chrII,366815,367265,YBR063C,-
312,chrII,367841,368291,YBR064W,+
313,chrII,368484,368934,YBR065C,-
314,chrII,369838,370288,YBR066C,-
315,chrII,371905,372355,YBR067C,-
316,chrII,373536,373986,YBR068C,-
317,chrII,376344,376794,YBR069C,-
318,chrII,379073,379523,YBR070C,-
319,chrII,380959,381409,YBR071W,+
320,chrII,382485,382935,YBR072W,+
321,chrII,382625,383075,YBR072C-A,-
322,chrII,385698,386148,YBR073W,+
323,chrII,388866,389316,YBR074W,+
324,chrII,391251,391701,YBR076C-A,-
325,chrII,391325,391775,YBR076W,+
326,chrII,391476,391926,YBR077C,-
327,chrII,394444,394894,YBR078W,+
328,chrII,395188,395638,YBR079C,-
329,chrII,398333,398783,YBR080C,-
330,chrII,401030,401480,YBR081C,-
331,chrII,406320,406770,YBR082C,-
332,chrII,410365,410815,YBR083W,+
333,chrII,413788,414238,YBR084W,+
334,chrII,413962,414412,YBR084C-A,-
335,chrII,416556,417006,YBR085W,+
336,chrII,418807,419257,YBR085C-A,-
337,chrII,420101,420551,YBR086C,-
338,chrII,424533,424983,YBR087W,+
339,chrII,424890,425340,YBR088C,-
340,chrII,425432,425882,YBR089W,+
341,chrII,425890,426340,YBR089C-A,-
342,chrII,426233,426683,YBR090C,-
343,chrII,426947,427397,YBR091C,-
344,chrII,427493,427943,YBR092C,-
345,chrII,429383,429833,YBR093C,-
346,chrII,433947,434397,YBR094W,+
347,chrII,434283,434733,YBR095C,-
348,chrII,436432,436882,YBR096W,+
349,chrII,441132,441582,YBR097W,+
350,chrII,442824,443274,YBR099C,-
351,chrII,443304,443754,YBR098W,+
352,chrII,443673,444123,YBR101C,-
353,chrII,444851,445301,YBR102C,-
354,chrII,449010,449460,YBR103W,+
355,chrII,449220,449670,YBR103C-A,-
356,chrII,450388,450838,YBR104W,+
357,chrII,450627,451077,YBR105C,-
358,chrII,453010,453460,YBR106W,+
359,chrII,453382,453832,YBR107C,-
360,chrII,457489,457939,YBR108W,+
361,chrII,457617,458067,YBR109C,-
362,chrII,458482,458932,YBR109W-A,+
363,chrII,459965,460415,YBR110W,+
364,chrII,460999,461449,YBR111C,-
365,chrII,462229,462679,YBR111W-A,+
366,chrII,462770,463220,YBR112C,-
367,chrII,465698,466148,YBR113W,+
368,chrII,469270,469720,YBR114W,+
369,chrII,469648,470098,YBR115C,-
370,chrII,474099,474549,YBR116C,-
371,chrII,474133,474583,YBR117C,-
372,chrII,478794,479244,YBR118W,+
373,chrII,479973,480423,YBR119W,+
374,chrII,480335,480785,YBR120C,-
375,chrII,481121,481571,YBR121C,-
376,chrII,482226,482676,YBR121C-A,-
377,chrII,483666,484116,YBR122C,-
378,chrII,484583,485033,YBR123C,-
379,chrII,486516,486966,YBR124W,+
380,chrII,486949,487399,YBR125C,-
381,chrII,488805,489255,YBR126C,-
382,chrII,490706,491156,YBR126W-A,+
383,chrII,490720,491170,YBR126W-B,+
384,chrII,491003,491453,YBR127C,-
385,chrII,492880,493330,YBR128C,-
386,chrII,494253,494703,YBR129C,-
387,chrII,495372,495822,YBR130C,-
388,chrII,497550,498000,YBR131C-A,-
389,chrII,499202,499652,YBR131W,+
390,chrII,499552,500002,YBR132C,-
391,chrII,501624,502074,YBR133C,-
392,chrII,504294,504744,YBR134W,+
393,chrII,505056,505506,YBR135W,+
394,chrII,512619,513069,YBR136W,+
395,chrII,513326,513776,YBR137W,+
396,chrII,513505,513955,YBR138C,-
397,chrII,517033,517483,YBR139W,+
398,chrII,517250,517700,YBR140C,-
399,chrII,526802,527252,YBR141C,-
400,chrII,526912,527362,YBR141W-A,+
401,chrII,530404,530854,YBR142W,+
402,chrII,530535,530985,YBR143C,-
403,chrII,533135,533585,YBR144C,-
404,chrII,534604,535054,YBR145W,+
405,chrII,535936,536386,YBR146W,+
406,chrII,537128,537578,YBR147W,+
407,chrII,539355,539805,YBR148W,+
408,chrII,540828,541278,YBR149W,+
409,chrII,541109,541559,YBR150C,-
410,chrII,545757,546207,YBR151W,+
411,chrII,546901,547351,YBR152W,+
412,chrII,548057,548507,YBR153W,+
413,chrII,548262,548712,YBR154C,-
414,chrII,550654,551104,YBR155W,+
415,chrII,550820,551270,YBR156C,-
416,chrII,553443,553893,YBR157C,-
417,chrII,557993,558443,YBR158W,+
418,chrII,559535,559985,YBR159W,+
419,chrII,560715,561165,YBR160W,+
420,chrII,562806,563256,YBR161W,+
421,chrII,562950,563400,YBR162C,-
422,chrII,565168,565618,YBR162W-A,+
423,chrII,567181,567631,YBR163W,+
424,chrII,567633,568083,YBR164C,-
425,chrII,569377,569827,YBR165W,+
426,chrII,569742,570192,YBR166C,-
427,chrII,571294,571744,YBR167C,-
428,chrII,573402,573852,YBR168W,+
429,chrII,573815,574265,YBR169C,-
430,chrII,576091,576541,YBR170C,-
431,chrII,578700,579150,YBR171W,+
432,chrII,579050,579500,YBR172C,-
433,chrII,581476,581926,YBR173C,-
434,chrII,582238,582688,YBR174C,-
435,chrII,583005,583455,YBR175W,+
436,chrII,584450,584900,YBR176W,+
437,chrII,584581,585031,YBR177C,-
438,chrII,586095,586545,YBR178W,+
439,chrII,586447,586897,YBR179C,-
440,chrII,591336,591786,YBR180W,+
441,chrII,591510,591960,YBR181C,-
442,chrII,593110,593560,YBR182C,-
443,chrII,595261,595711,YBR182C-A,-
444,chrII,596715,597165,YBR183W,+
445,chrII,598584,599034,YBR184W,+
446,chrII,598898,599348,YBR185C,-
447,chrII,602010,602460,YBR186W,+
448,chrII,603262,603712,YBR187W,+
449,chrII,603422,603872,YBR188C,-
450,chrII,605225,605675,YBR189W,+
451,chrII,605927,606377,YBR190W,+
452,chrII,606873,607323,YBR191W-A,+
453,chrII,606979,607429,YBR191W,+
454,chrII,608577,609027,YBR192W,+
455,chrII,608743,609193,YBR193C,-
456,chrII,610266,610716,YBR194W,+
457,chrII,610386,610836,YBR195C,-
458,chrII,612030,612480,YBR196C,-
459,chrII,613924,614374,YBR196C-A,-
460,chrII,614426,614876,YBR196C-B,-
461,chrII,615103,615553,YBR197C,-
462,chrII,615932,616382,YBR198C,-
463,chrII,620132,620582,YBR199W,+
464,chrII,622390,622840,YBR200W,+
465,chrII,622797,623247,YBR200W-A,+
466,chrII,623981,624431,YBR201W,+
467,chrII,624140,624590,YBR201C-A,-
468,chrII,627959,628409,YBR202W,+
469,chrII,631592,632042,YBR203W,+
470,chrII,632154,632604,YBR204C,-
471,chrII,634574,635024,YBR206W,+
472,chrII,634586,635036,YBR205W,+
473,chrII,636302,636752,YBR207W,+
474,chrII,636463,636913,YBR208C,-
475,chrII,642550,643000,YBR209W,+
476,chrII,645690,646140,YBR210W,+
477,chrII,646058,646508,YBR211C,-
478,chrII,649759,650209,YBR212W,+
479,chrII,651036,651486,YBR213W,+
480,chrII,652648,653098,YBR214W,+
481,chrII,655073,655523,YBR215W,+
482,chrII,655242,655692,YBR216C,-
483,chrII,658343,658793,YBR217W,+
484,chrII,658469,658919,YBR218C,-
485,chrII,662399,662849,YBR219C,-
486,chrII,662738,663188,YBR220C,-
487,chrII,664809,665259,YBR221C,-
488,chrII,666344,666794,YBR221W-A,+
489,chrII,666499,666949,YBR222C,-
490,chrII,668490,668940,YBR223W-A,+
491,chrII,668563,669013,YBR223C,-
492,chrII,670290,670740,YBR224W,+
493,chrII,672979,673429,YBR225W,+
494,chrII,673055,673505,YBR226C,-
495,chrII,673472,673922,YBR227C,-
496,chrII,675877,676327,YBR228W,+
497,chrII,676122,676572,YBR229C,-
498,chrII,679404,679854,YBR230C,-
499,chrII,680421,680871,YBR230W-A,+
500,chrII,682032,682482,YBR231C,-
501,chrII,683273,683723,YBR232C,-
502,chrII,684319,684769,YBR233W,+
503,chrII,685178,685628,YBR233W-A,+
504,chrII,685263,685713,YBR234C,-
505,chrII,690002,690452,YBR235W,+
506,chrII,690156,690606,YBR236C,-
507,chrII,694168,694618,YBR237W,+
508,chrII,695007,695457,YBR238C,-
509,chrII,698254,698704,YBR239C,-
510,chrII,700159,700609,YBR240C,-
511,chrII,702418,702868,YBR241C,-
512,chrII,705119,705569,YBR242W,+
513,chrII,705263,705713,YBR243C,-
514,chrII,707900,708350,YBR244W,+
515,chrII,708050,708500,YBR245C,-
516,chrII,712497,712947,YBR246W,+
517,chrII,712645,713095,YBR247C,-
518,chrII,714623,715073,YBR248C,-
519,chrII,716663,717113,YBR249C,-
520,chrII,720254,720704,YBR250W,+
521,chrII,722042,722492,YBR251W,+
522,chrII,722764,723214,YBR252W,+
523,chrII,723307,723757,YBR253W,+
524,chrII,723479,723929,YBR254C,-
525,chrII,726330,726780,YBR255W,+
526,chrII,726419,726869,YBR255C-A,-
527,chrII,727184,727634,YBR256C,-
528,chrII,729392,729842,YBR257W,+
529,chrII,729565,730015,YBR258C,-
530,chrII,732169,732619,YBR259W,+
531,chrII,732539,732989,YBR260C,-
532,chrII,734603,735053,YBR261C,-
533,chrII,735525,735975,YBR262C,-
534,chrII,737434,737884,YBR263W,+
535,chrII,737562,738012,YBR264C,-
536,chrII,739324,739774,YBR265W,+
537,chrII,739836,740286,YBR266C,-
538,chrII,740787,741237,YBR267W,+
539,chrII,741361,741811,YBR268W,+
540,chrII,741875,742325,YBR269C,-
541,chrII,742661,743111,YBR270C,-
542,chrII,745861,746311,YBR271W,+
543,chrII,746070,746520,YBR272C,-
544,chrII,747961,748411,YBR273C,-
545,chrII,750857,751307,YBR274W,+
546,chrII,751256,751706,YBR275C,-
547,chrII,757442,757892,YBR276C,-
548,chrII,760115,760565,YBR277C,-
549,chrII,760632,761082,YBR278W,+
550,chrII,762244,762694,YBR279W,+
551,chrII,762684,763134,YBR280C,-
552,chrII,764754,765204,YBR281C,-
553,chrII,768674,769124,YBR283C,-
554,chrII,768677,769127,YBR282W,+
555,chrII,773282,773732,YBR284W,+
556,chrII,774006,774456,YBR285W,+
557,chrII,776002,776452,YBR286W,+
558,chrII,777558,778008,YBR287W,+
559,chrII,777912,778362,YBR288C,-
560,chrII,782034,782484,YBR289W,+
561,chrII,783333,783783,YBR290W,+
562,chrII,783522,783972,YBR291C,-
563,chrII,784602,785052,YBR292C,-
564,chrII,788294,788744,YBR293W,+
565,chrII,791464,791914,YBR294W,+
566,chrII,796161,796611,YBR295W,+
567,chrII,796625,797075,YBR296C,-
568,chrII,799691,800141,YBR296C-A,-
569,chrII,801579,802029,YBR297W,+
570,chrII,802531,802981,YBR298C,-
571,chrII,804550,805000,YBR298C-A,-
572,chrII,806755,807205,YBR299W,+
573,chrII,808500,808950,YBR300C,-
574,chrII,809069,809519,YBR301W,+
575,chrII,810157,810607,YBR302C,-
576,chrIII,1785,2235,YCL076W,+
577,chrIII,6379,6829,YCL073C,-
578,chrIII,10732,11182,YCL069W,+
579,chrIII,11403,11853,YCL068C,-
580,chrIII,12286,12736,YCL067C,-
581,chrIII,13459,13909,YCL066W,+
582,chrIII,13769,14219,YCL065W,+
583,chrIII,15603,16053,YCL064C,-
584,chrIII,18211,18661,YCL063W,+
585,chrIII,18716,19166,YCL061C,-
586,chrIII,22258,22708,YCL059C,-
587,chrIII,23423,23873,YCL058C,-
588,chrIII,23640,24090,YCL058W-A,+
589,chrIII,23788,24238,YCL057C-A,-
590,chrIII,26699,27149,YCL057W,+
591,chrIII,26790,27240,YCL056C,-
592,chrIII,28775,29225,YCL055W,+
593,chrIII,33624,34074,YCL054W,+
594,chrIII,33823,34273,YCL052C,-
595,chrIII,37266,37716,YCL051W,+
596,chrIII,37658,38108,YCL050C,-
597,chrIII,39538,39988,YCL049C,-
598,chrIII,41377,41827,YCL048W-A,+
599,chrIII,43368,43818,YCL047C,-
600,chrIII,43385,43835,YCL048W,+
601,chrIII,44462,44912,YCL045C,-
602,chrIII,46613,47063,YCL046W,+
603,chrIII,47011,47461,YCL044C,-
604,chrIII,48553,49003,YCL043C,-
605,chrIII,50033,50483,YCL041C,-
606,chrIII,50593,51043,YCL042W,+
607,chrIII,52172,52622,YCL040W,+
608,chrIII,54532,54982,YCL039W,+
609,chrIII,54841,55291,YCL038C,-
610,chrIII,57274,57724,YCL037C,-
611,chrIII,60480,60930,YCL036W,+
612,chrIII,60636,61086,YCL035C,-
613,chrIII,62495,62945,YCL034W,+
614,chrIII,62544,62994,YCL033C,-
615,chrIII,64230,64680,YCL032W,+
616,chrIII,64575,65025,YCL031C,-
617,chrIII,65708,66158,YCL030C,-
618,chrIII,68249,68699,YCL029C,-
619,chrIII,71145,71595,YCL028W,+
620,chrIII,73077,73527,YCL027W,+
621,chrIII,73242,73692,YCL026C-B,-
622,chrIII,74604,75054,YCL026C-A,-
623,chrIII,75823,76273,YCL025C,-
624,chrIII,78849,79299,YCL023C,-
625,chrIII,81470,81920,YCL022C,-
626,chrIII,81925,82375,YCL024W,+
627,chrIII,83844,84294,YCL021W-A,+
628,chrIII,92234,92684,YCL018W,+
629,chrIII,92524,92974,YCL017C,-
630,chrIII,94428,94878,YCL016C,-
631,chrIII,100974,101424,YCL014W,+
632,chrIII,101163,101613,YCL012C,-
633,chrIII,101892,102342,YCL011C,-
634,chrIII,103416,103866,YCL010C,-
635,chrIII,104371,104821,YCL009C,-
636,chrIII,105596,106046,YCL008C,-
637,chrIII,106874,107324,YCL007C,-
638,chrIII,107173,107623,YCL005W-A,+
639,chrIII,108646,109096,YCL005W,+
640,chrIII,110363,110813,YCL004W,+
641,chrIII,110440,110890,YCL002C,-
642,chrIII,112195,112645,YCL001W,+
643,chrIII,113191,113641,YCL001W-A,+
644,chrIII,113902,114352,YCL001W-B,+
645,chrIII,115649,116099,YCR001W,+
646,chrIII,117219,117669,YCR002C,-
647,chrIII,118919,119369,YCR003W,+
648,chrIII,119365,119815,YCR004C,-
649,chrIII,120821,121271,YCR005C,-
650,chrIII,122430,122880,YCR006C,-
651,chrIII,125835,126285,YCR007C,-
652,chrIII,129931,130381,YCR008W,+
653,chrIII,130543,130993,YCR009C,-
654,chrIII,132173,132623,YCR010C,-
655,chrIII,133563,134013,YCR011C,-
656,chrIII,138302,138752,YCR013C,-
657,chrIII,138646,139096,YCR012W,+
658,chrIII,139085,139535,YCR014C,-
659,chrIII,141117,141567,YCR015C,-
660,chrIII,144156,144606,YCR016W,+
661,chrIII,144572,145022,YCR017C,-
662,chrIII,148138,148588,YCR018C,-
663,chrIII,151508,151958,YCR018C-A,-
664,chrIII,153578,154028,YCR019W,+
665,chrIII,153912,154362,YCR020C,-
666,chrIII,154730,155180,YCR020C-A,-
667,chrIII,155206,155656,YCR020W-B,+
668,chrIII,156009,156459,YCR021C,-
669,chrIII,157321,157771,YCR022C,-
670,chrIII,158191,158641,YCR023C,-
671,chrIII,160517,160967,YCR024C,-
672,chrIII,162359,162809,YCR024C-B,-
673,chrIII,162845,163295,YCR024C-A,-
674,chrIII,163346,163796,YCR025C,-
675,chrIII,163789,164239,YCR026C,-
676,chrIII,167149,167599,YCR027C,-
677,chrIII,170585,171035,YCR028C,-
678,chrIII,172657,173107,YCR028C-A,-
679,chrIII,173553,174003,YCR030C,-
680,chrIII,177293,177743,YCR031C,-
681,chrIII,185747,186197,YCR032W,+
682,chrIII,189819,190269,YCR033W,+
683,chrIII,191453,191903,YCR034W,+
684,chrIII,191579,192029,YCR035C,-
