sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio_C_file_name	DNA_ratio_C	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	ref3	sample_ref1	sample_ref2	sample_ref3	exp_group_1	exp_group_2
2026-03-17-MS260226L05_exp260220_MS1154_SCD_1hr-arrest_1NMPP1_polyA-RNA	exp260220_MS1154_SCD_1hr-arrest_1NMPP1_polyA-RNA	MS1154_SCD_1hr-arrest_1NMPP1	MS1154	TPK1-3_AS	SCD	1hr	1NMPP1	exp260220	2026-03-17-MS260226L15_exp260220_MS1154_SCD_1hr-arrest_1uM-1NMPP1_gDNA	1.20403821					1.20403821	DNA_content_analysis_AC260304_MS1154_N1_exp2602220_G1-arrest.fcs	1.2707	52.4	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_1NMPP1	MS1154_SCD_1hr-arrest_1NMPP1	MS1154_SCD_1hr-arrest_DMSO	A	A
2026-03-17-MS260226L06_exp260220_MS1154_SCD_4hr45min-arrest_1NMPP1_polyA-RNA	exp260220_MS1154_SCD_4hr45min-arrest_1NMPP1_polyA-RNA	MS1154_SCD_4hr45min-arrest_1NMPP1	MS1154	TPK1-3_AS	SCD	4hr45min	1NMPP1	exp260220	2026-03-17-MS260226L16_exp260220_MS1154_SCD_4hr45min-arrest_1uM-1NMPP1_gDNA	0.453869034					0.453869034	DNA_content_analysis_AC260304_MS1154_N2_exp2602220_G1-arrest.fcs	1.0067	207.7	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_1NMPP1	MS1154_SCD_1hr-arrest_1NMPP1	MS1154_SCD_1hr-arrest_DMSO	A	A
2026-03-17-MS260226L07_exp260220_MS1042_SCD_1hr-arrest_ATC_polyA-RNA	exp260220_MS1154_SCD_1hr-arrest_ATC_polyA-RNA	MS1042_SCD_1hr-arrest_ATC	MS1042	Sch9(2d3e)-Tod6-mNG	SCD	1hr	ATC	exp260220										65.6	FALSE	TRUE		MS951_SCD_1hr-arrest_1NMPP1	MS1042_SCD_1hr-arrest_ATC		A	B
2026-03-17-MS260226L08_exp260220_MS1042_SCD_4hr45min-arrest_ATC_polyA-RNA	exp260220_MS1154_SCD_4hr45min-arrest_ATC_polyA-RNA	MS1042_SCD_4hr45min-arrest_ATC	MS1042	Sch9(2d3e)-Tod6-mNG	SCD	4hr45min	ATC	exp260220										266.2	FALSE	FALSE		MS951_SCD_1hr-arrest_1NMPP1	MS1042_SCD_1hr-arrest_ATC		A	B
2026-03-17-MS260226L09_exp241211_MS796_SCD_1hr-arrest_polyA-RNA	exp241211_MS796_SCD_1hr-arrest_polyA-RNA	MS796_SCD_1hr-arrest	MS796	TORC1 hyper	SCD	1hr	no treatment	exp241211										66.8	TRUE	TRUE		MS796_SCD_1hr-arrest	MS796_SCD_1hr-arrest		A	C
2026-03-17-MS260226L10_exp241211_MS796_SCD_4hr45min-arrest_polyA-RNA	exp241211_MS796_SCD_4hr45min-arrest_polyA-RNA	MS796_SCD_4hr45min-arrest	MS796	TORC1 hyper	SCD	4hr45min	no treatment	exp241211										215.4	FALSE	FALSE		MS796_SCD_1hr-arrest	MS796_SCD_1hr-arrest		A	C
2026-01-03-AC251203L01_exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_1hr-arrest	MS69	WT	SCD	1hr-arrest	OD 0.1	exp251017	2026-02-09-MS260116L04_exp251017_MS69_SCD_1hr-arrest_OD-0.1_gDNA	0.801	2026-03-17-MS260226L17_exp251017_MS69_SCD_1hr-arrest_OD-0.1_gDNA	0.812547295			0.806773648	DNA_content_analysis_AC260123_MS69_A1_exp251017_G1-arrest.fcs	1.39602	72.61								
2026-01-03-AC251203L02_exp251017_MS69_SCD_1hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_1hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_1hr-arrest	MS69	WT	SCD	1hr-arrest	OD 0.3	exp251017	2026-02-09-MS260116L05_exp251017_MS69_SCD_1hr-arrest_OD-0.3_gDNA	2.061	2026-03-17-MS260226L18_exp251017_MS69_SCD_1hr-arrest_OD-0.3_gDNA	2.079539552			2.070269776	DNA_content_analysis_AC260123_MS69_B1_exp251017_G1-arrest.fcs	1.45245	70.88								
2026-01-03-AC251203L03_exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_2hr-arrest	MS69	WT	SCD	2hr-arrest	OD 0.1	exp251017	2026-02-09-MS260116L06_exp251017_MS69_SCD_2hr-arrest_OD-0.1_gDNA	0.599	2026-03-17-MS260226L19_exp251017_MS69_SCD_2hr-arrest_OD-0.1_gDNA	0.612561164			0.605780582	DNA_content_analysis_AC260123_MS69_A2_exp251017_G1-arrest.fcs	1.07391	84.64								
2026-01-03-AC251203L04_exp251017_MS69_SCD_2hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_2hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_2hr-arrest	MS69	WT	SCD	2hr-arrest	OD 0.3	exp251017	2026-02-09-MS260116L07_exp251017_MS69_SCD_2hr-arrest_OD-0.3_gDNA	1.617	2026-03-17-MS260226L20_exp251017_MS69_SCD_2hr-arrest_OD-0.3_gDNA	1.645898661			1.631449331	DNA_content_analysis_AC260123_MS69_B2_exp251017_G1-arrest.fcs	1.07049	84.48								
2026-01-03-AC251203L05_exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_3hr-arrest	MS69	WT	SCD	3hr-arrest	OD 0.1	exp251017	2026-02-09-MS260116L08_exp251017_MS69_SCD_3hr-arrest_OD-0.1_gDNA	0.601	2026-03-17-MS260226L21_exp251017_MS69_SCD_3hr-arrest_OD-0.1_gDNA	0.612237439			0.60661872	DNA_content_analysis_AC260123_MS69_A3_exp251017_G1-arrest.fcs	1.00702	133.51								
2026-01-03-AC251203L06_exp251017_MS69_SCD_3hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_3hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_3hr-arrest	MS69	WT	SCD	3hr-arrest	OD 0.3	exp251017	2026-02-09-MS260116L09_exp251017_MS69_SCD_3hr-arrest_OD-0.3_gDNA	1.091	2026-03-17-MS260226L22_exp251017_MS69_SCD_3hr-arrest_OD-0.3_gDNA	1.114241043			1.102620522	DNA_content_analysis_AC260123_MS69_B3_exp251017_G1-arrest.fcs	1.0028	130.03								
2026-01-03-AC251203L07_exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_4hr-arrest	MS69	WT	SCD	4hr-arrest	OD 0.1	exp251017	2026-02-09-MS260116L10_exp251017_MS69_SCD_4hr-arrest_OD-0.1_gDNA	0.337	2026-03-17-MS260226L23_exp251017_MS69_SCD_4hr-arrest_OD-0.1_gDNA	0.354183416	2026-03-17-MS260227L01_exp251017_MS69_SCD_4hr-arrest_OD-0.1_gDNA	0.342	0.344394472	DNA_content_analysis_AC260123_MS69_A4_exp251017_G1-arrest.fcs	1.00083	198.5								
2026-01-03-AC251203L08_exp251017_MS69_SCD_4hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_4hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_4hr-arrest	MS69	WT	SCD	4hr-arrest	OD 0.3	exp251017	2026-02-09-MS260116L11_exp251017_MS69_SCD_4hr-arrest_OD-0.3_gDNA	0.743	2026-03-17-MS260226L24_exp251017_MS69_SCD_4hr-arrest_OD-0.3_gDNA	0.749647765	2026-03-17-MS260227L02_exp251017_MS69_SCD_4hr-arrest_OD-0.3_gDNA	0.736	0.742882588	DNA_content_analysis_AC260123_MS69_B4_exp251017_G1-arrest.fcs	1.00074	195.48								
2026-01-03-AC251203L09_exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_5hr-arrest	MS69	WT	SCD	5hr-arrest	OD 0.1	exp251017	2026-02-09-MS260116L12_exp251017_MS69_SCD_5hr-arrest_OD-0.1_gDNA	0.299	2026-03-17-MS260226L25_exp251017_MS69_SCD_5hr-arrest_OD-0.1_gDNA	0.306465323	2026-03-17-MS260227L03_exp251017_MS69_SCD_5hr-arrest_OD-0.1_gDNA	0.289	0.298155108	DNA_content_analysis_AC260123_MS69_A5_exp251017_G1-arrest.fcs	1.00021	288.42								
2026-01-03-AC251203L10_exp251017_MS69_SCD_5hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_5hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_5hr-arrest	MS69	WT	SCD	5hr-arrest	OD 0.3	exp251017	2026-02-09-MS260116L13_exp251017_MS69_SCD_5hr-arrest_OD-0.3_gDNA	0.661	2026-03-17-MS260226L26_exp251017_MS69_SCD_5hr-arrest_OD-0.3_gDNA	0.672247709	2026-03-17-MS260227L04_exp251017_MS69_SCD_5hr-arrest_OD-0.3_gDNA	0.653	0.66208257	DNA_content_analysis_AC260123_MS69_B5_exp251017_G1-arrest.fcs	1.00032	276.46								
2026-01-03-AC251203L11_exp251017_MS69_SCD_6hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_6hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_6hr-arrest	MS69	WT	SCD	6hr-arrest	OD 0.1	exp251017	2026-02-09-MS260116L14_exp251017_MS69_SCD_6hr-arrest_OD-0.1_gDNA	0.199	2026-03-17-MS260226L27_exp251017_MS69_SCD_6hr-arrest_OD-0.1_gDNA	0.205759738	2026-03-17-MS260227L05_exp251017_MS69_SCD_6hr-arrest_OD-0.1_gDNA	0.193	0.199253246	DNA_content_analysis_AC260123_MS69_A6_exp251017_G1-arrest.fcs	1.00029	349.1								
2026-01-03-AC251203L12_exp251017_MS69_SCD_6hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_6hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_6hr-arrest	MS69	WT	SCD	6hr-arrest	OD 0.3	exp251017	2026-02-09-MS260116L15_exp251017_MS69_SCD_6hr-arrest_OD-0.3_gDNA	0.476	2026-03-17-MS260226L28_exp251017_MS69_SCD_6hr-arrest_OD-0.3_gDNA	0.480145438	2026-03-17-MS260227L06_exp251017_MS69_SCD_6hr-arrest_OD-0.3_gDNA	0.46	0.472048479	DNA_content_analysis_AC260123_MS69_B6_exp251017_G1-arrest.fcs	1.00034	343.24								
